"Temp"	"S"	"K"	"BMmax"	"TLmax"	"maxBM"
15	100	0.1	6	3.10236211667536	8394.40845098206
15	100	0.1	6	2.8121933890442	280.740803842966
15	100	0.1	6	2.88629382299479	2181.28828500812
15	100	0.1	6	2.58686132820272	1714.82412255548
15	100	0.1	6	2.55680602937571	1760.81032347656
15	100	0.1	6	2.02280403722912	16309.1373187694
15	100	0.1	6	3.52920175161427	367.573143473195
15	100	0.1	6	2.57181335531746	3688.62438295148
15	100	0.1	6	2	16967.8623422582
15	100	0.1	6	2.88131916921796	293.409931988359
15	100	0.1	6	2.99999964889924	111.570591923318
15	100	0.1	6	3.078990808136	1201.44903322639
15	100	0.1	6	2.76528833358577	650.723068188081
15	100	0.1	6	2.03066585304886	13807.2049983274
15	100	0.1	6	2.649949144059	3319.38276641227
15	100	0.1	6	2.1690373699842	1782.47587023037
15	100	0.1	6	2	19575.8559160667
15	100	0.1	6	2.95061749631398	74.0924797524327
15	100	0.1	6	3.04397627106498	2972.54607136677
15	100	0.1	6	2	17742.5066469288
15	100	0.1	6	2	7750.81639004263
15	100	0.1	6	2.1096593932102	9981.49427100616
15	100	0.1	6	2.37126323914375	5214.52144229285
15	100	0.1	6	3.27195389076037	2340.26149015615
15	100	0.1	6	1	18695.1411594328
15	100	0.1	6	3.51833052018762	455.988204446484
15	100	0.1	6	3.32085071600553	862.978028460978
15	100	0.1	6	2.5458400315772	7809.41167250679
15	100	0.1	6	3.20400075595334	711.340348964691
15	100	0.1	6	2.55399961950374	6827.19287574629
15	100	0.1	6	1	14375.033714649
15	100	0.1	6	2.06717082509525	2038.58555766934
15	100	0.1	6	2.20698760410543	2721.43335430908
15	100	0.1	6	3.00731582480296	1405.96607125223
15	100	0.1	6	2.66004298770192	3062.22958154344
15	100	0.1	6	2.71884731764482	2594.10739531785
15	100	0.1	6	2.67833194410851	2037.39584207804
15	100	0.1	6	2.51612860861098	2334.67902665496
15	100	0.1	6	3.69683920006648	3158.74149055342
15	100	0.1	6	2.7167965757718	1925.68345693044
15	100	0.1	6	2.43819701989964	6185.93418889041
15	100	0.1	6	2	7824.06825332721
15	100	0.1	6	2.26561921350494	7145.68460688125
15	100	0.1	6	3.50285473743672	2914.96079948854
15	100	0.1	6	2.80773529011195	37.8001986642527
15	100	0.1	6	2	8535.42682582211
15	100	0.1	6	2.07007334047671	6147.91314718264
15	100	0.1	6	2.4981647184595	12058.5604933784
15	100	0.1	6	2	2858.80927408517
15	100	0.1	6	3.22986705619002	407.148089575937
15	100	0.1	6	2.03124268369245	2516.55130144439
15	100	0.1	6	3.0844240956449	428.132849181788
15	100	0.1	6	2.74541476671442	686.309297082978
15	100	0.1	6	2	16346.5309008444
15	100	0.1	6	3.19266947155113	1442.85988480165
15	100	0.1	6	3.13648020395884	3343.23349134031
15	100	0.1	6	2.82899851850753	1292.0420269632
15	100	0.1	6	2.26388595739042	1509.10517230098
15	100	0.1	6	2.74469153535985	2322.4978664436
15	100	0.1	6	2.53334562875837	1440.56193802459
15	100	0.1	6	2	8661.30141007401
15	100	0.1	6	3.13902871457817	1961.3455452952
15	100	0.1	6	3.10104466550215	1406.51583879571
15	100	0.1	6	2	5016.74247447829
15	100	0.1	6	3.22829697199433	1104.19708246321
15	100	0.1	6	1	21164.1317578348
15	100	0.1	6	2.17060728911311	6506.67366289232
15	100	0.1	6	2.85514634162675	565.696553285884
15	100	0.1	6	3.15057923514902	297.27380490221
15	100	0.1	6	2.5579551367604	3565.28085386006
15	100	0.1	6	2.65287241731469	8338.20508485039
NA	NA	NA	NA	NA	NA
15	100	0.1	6	2.89028062653664	305.326436256826
15	100	0.1	6	2.46481590628138	10835.722862411
15	100	0.1	6	2	12622.9697737528
15	100	0.1	6	2.96965483216311	384.758851628246
15	100	0.1	6	2.30260121017306	5916.45162491031
15	100	0.1	6	2.64704655990116	1512.5983112332
15	100	0.1	6	2.6576858967377	1627.63752775089
15	100	0.1	6	2.85350890722367	962.250652191677
15	100	0.1	6	2.66045215164234	951.956007491794
15	100	0.1	6	3.2581856820288	1237.73032383373
15	100	0.1	6	2.12385003076851	9469.0236658049
15	100	0.1	6	3.30204917037658	631.527379489729
15	100	0.1	6	2.9996783421965	1865.87110875356
15	100	0.1	6	2.41963990055226	3196.04058393741
15	100	0.1	6	2	2804.28547679095
15	100	0.1	6	2.06472699726582	19456.6034901981
15	100	0.1	6	2.11531052504724	1980.82787716102
15	100	0.1	6	2.13896819395756	828.096514542952
15	100	0.1	6	2.98614877926836	540.814082864577
15	100	0.1	6	2.10639671078233	2283.9713344888
15	100	0.1	6	2.45187256922198	4838.61838763289
15	100	0.1	6	2	4621.75239451373
15	100	0.1	6	3.44997066636319	983.569248435213
15	100	0.1	6	1	18171.2542209076
15	100	0.1	6	2.18884747073393	3731.44203774037
15	100	0.1	6	2.76239972032589	882.336916665144
15	100	0.1	6	2	17210.6203535491
15	100	0.1	6	3.13129848590701	642.038875012201
20	100	0.1	6	1	8870.92639170453
20	100	0.1	6	2	119.311226961979
20	100	0.1	6	2	1515.34398138203
20	100	0.1	6	1	3.4929529857748
20	100	0.1	6	2	475.400210431612
20	100	0.1	6	2	6647.39778019174
20	100	0.1	6	2.34066751003209	51.5895346243282
20	100	0.1	6	1	3159.72345524101
20	100	0.1	6	2	4410.34581437668
20	100	0.1	6	2	174.385866323908
20	100	0.1	6	1	4.83589080658353
20	100	0.1	6	2.07931797306124	192.962435136372
20	100	0.1	6	2	681.318659971796
20	100	0.1	6	2	4675.63662884325
20	100	0.1	6	2	2680.72490270613
20	100	0.1	6	2	1008.352315361
20	100	0.1	6	1	12709.3740336426
20	100	0.1	6	2	76.2357083078331
20	100	0.1	6	2.46037799874115	1053.13786253689
20	100	0.1	6	1	13471.3346443652
20	100	0.1	6	1	8998.77977484561
20	100	0.1	6	2	1071.31345310621
20	100	0.1	6	2	3257.05461457425
20	100	0.1	6	2.22013494885067	604.376194135152
20	100	0.1	6	1	11630.6563402488
20	100	0.1	6	2.50987197883919	31.5436124928774
20	100	0.1	6	2	22.386764737914
20	100	0.1	6	2.47117213204179	330.311658269424
20	100	0.1	6	2	94.1168038982639
20	100	0.1	6	2.42072174697476	2450.00732460856
20	100	0.1	6	1	8901.08053892633
20	100	0.1	6	2	1010.39341505853
20	100	0.1	6	2	38.4027598742274
20	100	0.1	6	2	854.414246392719
20	100	0.1	6	2	3090.38600731905
20	100	0.1	6	2	1751.9303021744
20	100	0.1	6	2	1869.63966263252
20	100	0.1	6	2	2122.53024914372
20	100	0.1	6	2.60316391260634	52.0173689944116
20	100	0.1	6	2	10.2430698748119
20	100	0.1	6	1	4578.20773761812
20	100	0.1	6	1	8852.47995811482
20	100	0.1	6	2	5450.34887826231
20	100	0.1	6	2.55682457782474	118.981854605072
20	100	0.1	6	2	34.3591708554518
20	100	0.1	6	1	10187.786183562
20	100	0.1	6	2	1547.31078757635
20	100	0.1	6	2.46094183293033	4660.56489624582
20	100	0.1	6	2	986.984173598661
20	100	0.1	6	2	64.5674153713327
20	100	0.1	6	1	1957.09045244803
20	100	0.1	6	1	4.83320119903083
20	100	0.1	6	2.10548355604621	353.722587463009
20	100	0.1	6	2	7470.02275468525
20	100	0.1	6	2.44682002781363	406.757678850945
20	100	0.1	6	2.14883807151068	588.523088494978
20	100	0.1	6	2.03248609487267	347.077577380103
20	100	0.1	6	2	479.321878043005
20	100	0.1	6	2	2121.99240299528
20	100	0.1	6	1	1798.99359725954
20	100	0.1	6	1	12146.6273902789
20	100	0.1	6	2.3611244616532	382.937390249671
20	100	0.1	6	2.31691443524274	593.575044731564
20	100	0.1	6	1	4423.24218053985
20	100	0.1	6	2.23161355291576	556.965959987802
20	100	0.1	6	1	13093.4172954573
20	100	0.1	6	1	3203.97438134943
20	100	0.1	6	2.0868807674984	228.947615558795
20	100	0.1	6	1	2.92052585770613
20	100	0.1	6	1	5507.096656297
20	100	0.1	6	2	9198.24282673011
NA	NA	NA	NA	NA	NA
20	100	0.1	6	2	92.755366081736
20	100	0.1	6	2	6886.91634365284
20	100	0.1	6	2	5657.61343922532
20	100	0.1	6	2	201.810814983959
20	100	0.1	6	2	3266.89767607312
20	100	0.1	6	2	1367.65049634623
20	100	0.1	6	2.10876378123246	803.697586701348
20	100	0.1	6	2	458.644321117758
20	100	0.1	6	2	863.574510281384
20	100	0.1	6	2.47311880409526	28.4486961801114
20	100	0.1	6	2	8744.79328011948
20	100	0.1	6	2	30.7016151655896
20	100	0.1	6	1	3.01916214300084
20	100	0.1	6	2.03668885066912	898.178535594168
20	100	0.1	6	1	2.56399055970556
20	100	0.1	6	2.47486174348673	2748.00451426386
20	100	0.1	6	1	1531.91004396515
20	100	0.1	6	2	1059.98499598401
20	100	0.1	6	2	248.291391994534
20	100	0.1	6	1	1488.32955511596
20	100	0.1	6	1	3638.92873438366
20	100	0.1	6	1	4501.74837255686
20	100	0.1	6	2	100.936205022737
20	100	0.1	6	1	11248.0374493596
20	100	0.1	6	1	4169.08087511914
20	100	0.1	6	2	578.124278647688
20	100	0.1	6	2	6224.33741984736
20	100	0.1	6	2	85.931817420731
25	100	0.1	6	1	5597.24578394604
25	100	0.1	6	1	171.748021495128
25	100	0.1	6	2	61.9696790905944
25	100	0.1	6	1	2.18653956679631
25	100	0.1	6	1	615.028434706879
25	100	0.1	6	1	4574.00255797468
25	100	0.1	6	1	24.6092535870153
25	100	0.1	6	1	1986.27497896881
25	100	0.1	6	1	571.607848487561
25	100	0.1	6	1	65.323865451991
25	100	0.1	6	1	3.03005419913726
25	100	0.1	6	1	618.921209606168
25	100	0.1	6	1	796.542053888752
25	100	0.1	6	2	177.564438252177
25	100	0.1	6	1	272.243405119342
25	100	0.1	6	1	21.0045820893449
25	100	0.1	6	1	7975.51147218181
25	100	0.1	6	1	116.815290363901
25	100	0.1	6	2	279.604267012463
25	100	0.1	6	1	8455.44427743762
25	100	0.1	6	1	5644.08282444161
25	100	0.1	6	1	84.2180812124798
25	100	0.1	6	2	1000.480551686
25	100	0.1	6	2	244.015693674848
25	100	0.1	6	1	7349.68231470952
25	100	0.1	6	1	28.0734536814327
25	100	0.1	6	1	5.79391863373717
25	100	0.1	6	1	124.55819843408
25	100	0.1	6	1	293.031619557851
25	100	0.1	6	1	8.21082970182668
25	100	0.1	6	1	5587.69738908944
25	100	0.1	6	1	559.504972361004
25	100	0.1	6	1	137.814116380087
25	100	0.1	6	1	11.8560382277781
25	100	0.1	6	1	3953.13531293037
25	100	0.1	6	1	1367.92150387625
25	100	0.1	6	1	761.933289180497
25	100	0.1	6	1	1578.69769387852
25	100	0.1	6	1	133.118010634867
25	100	0.1	6	1	6.52529066642197
25	100	0.1	6	1	2874.2917073553
25	100	0.1	6	1	5560.46239257127
25	100	0.1	6	1	29.1562922549217
25	100	0.1	6	1	22.4132091466701
25	100	0.1	6	1	31.1711923972834
25	100	0.1	6	1	1613.2364286983
25	100	0.1	6	1	686.541394796457
25	100	0.1	6	1	15.8748676208087
25	100	0.1	6	1	128.429525862573
25	100	0.1	6	1	3.19125847198317
25	100	0.1	6	1	1225.25346176334
25	100	0.1	6	1	3.03618747372871
25	100	0.1	6	1	35.2015549345792
25	100	0.1	6	1	1140.96200215815
25	100	0.1	6	1	243.127832969069
25	100	0.1	6	1	38.7672503833037
25	100	0.1	6	1	26.7981390361852
